lon,lat,weather_id,main,description,icon,base,temp,feels_like,temp_min,temp_max,pressure,humidity,sea_level,grnd_level,visibility,wind_speed,wind_deg,wind_gust,clouds_all,dt,sys_type,sys_id,country,sunrise,sunset,timezone,city_id,city_name,cod,level
174.967992,-54.0839,800,Clear,clear sky,01n,stations,255.38,306.17,263.33,242.27,989,92,1011,1014,5820,5.08,106,17.71,54,1716279742,1,5788,IT,1716340965,1716339945,-43200,7711166,Whitby,200,0
56.008412,78.083429,800,Clear,clear sky,01n,stations,280.84,235.63,255.85,302.41,1011,50,1017,941,6999,11.89,25,2.17,1,1716347268,1,6629,GB,1716286280,1716268187,0,9153227,Zocca,200,0
168.957265,54.212239,800,Clear,clear sky,01n,stations,282.3,294.29,257.71,277.51,1004,56,1006,990,5233,12.37,49,7.14,16,1716333604,1,1895,IN,1716282466,1716310646,7200,8239938,Nantucket,200,0
46.145061,80.407191,800,Clear,clear sky,01n,stations,287.18,285.19,263.39,246.31,999,92,1009,918,4161,1.38,285,8.8,39,1716293177,1,5022,IN,1716288326,1716293512,-25200,6972533,Whitby,200,0
155.893924,72.088041,800,Clear,clear sky,01n,stations,283.68,290.0,223.03,270.63,998,69,986,900,7436,7.18,84,17.91,77,1716324754,1,3909,US,1716325419,1716333895,-25200,8920494,Cornville,200,0
92.329657,-7.027127,800,Clear,clear sky,01n,stations,233.89,279.66,253.84,272.11,1026,60,1004,945,2600,5.18,256,14.91,93,1716263035,1,8295,US,1716288114,1716306546,0,9433700,Pitampura,200,0
-14.849456,19.258575,800,Clear,clear sky,01n,stations,243.9,314.7,294.78,274.54,1021,52,995,1005,5376,0.75,92,16.96,83,1716275581,1,9041,US,1716284455,1716310498,-25200,2247347,Zocca,200,0
-151.662588,-86.481812,800,Clear,clear sky,01n,stations,298.62,316.09,225.21,243.65,993,32,1030,984,1964,12.38,49,3.08,68,1716268712,1,7188,IN,1716294525,1716290057,0,5966717,Pitampura,200,0
-23.649552,-42.149376,800,Clear,clear sky,01n,stations,235.73,312.2,230.7,264.65,1005,50,989,1015,6169,9.15,276,19.38,22,1716290361,1,8328,US,1716277671,1716286965,-43200,3751249,Whitby,200,0
-98.017443,-41.033927,800,Clear,clear sky,01n,stations,311.26,279.4,274.54,312.7,1003,72,1028,930,5029,0.29,19,14.99,63,1716317614,1,2724,US,1716302230,1716271698,0,3715497,Whitby,200,0
113.964666,-26.727352,800,Clear,clear sky,01n,stations,259.48,280.42,255.41,290.03,1030,47,1030,905,6443,9.53,343,6.78,78,1716306141,1,3571,IT,1716304725,1716321097,0,8260125,Rumbak,200,0
162.318714,-53.822959,800,Clear,clear sky,01n,stations,232.77,316.61,307.12,291.54,994,75,980,918,3928,11.28,109,4.37,57,1716315747,1,1477,IT,1716332833,1716265842,19800,7164638,Whitby,200,0
-82.606244,-73.685846,800,Clear,clear sky,01n,stations,313.3,260.02,269.04,245.16,1007,74,997,913,1324,10.21,118,14.14,77,1716303635,1,9999,IN,1716324080,1716284456,19800,5192418,Pune,200,0
172.738609,53.084126,800,Clear,clear sky,01n,stations,250.98,310.82,264.84,281.38,1022,23,989,923,3200,4.51,74,13.67,38,1716265241,1,1377,GB,1716282098,1716336122,-25200,3761351,Pune,200,0
93.614467,50.253336,800,Clear,clear sky,01n,stations,318.58,300.72,294.95,222.23,981,74,985,922,7306,9.04,189,11.87,86,1716339644,1,9851,IT,1716278521,1716295382,19800,1197951,Whitby,200,0
170.498213,12.232823,800,Clear,clear sky,01n,stations,234.06,229.29,314.85,295.32,1005,83,1012,972,1496,3.15,31,9.17,47,1716264809,1,9792,IT,1716301649,1716326729,7200,4578474,Pitampura,200,0
73.629579,-3.084203,800,Clear,clear sky,01n,stations,232.78,247.75,233.48,255.6,1027,90,989,1030,8698,7.43,24,19.76,14,1716283096,1,7010,GB,1716269398,1716277316,19800,2545652,Whitby,200,0
165.808863,-13.043274,800,Clear,clear sky,01n,stations,283.02,243.49,318.78,251.01,986,79,1016,925,7741,12.81,297,1.16,22,1716313970,1,7399,IN,1716301298,1716346100,0,9560011,Cornville,200,0
-68.403845,48.107487,800,Clear,clear sky,01n,stations,319.47,319.05,283.36,246.5,1003,20,989,904,9095,4.89,280,15.44,86,1716263523,1,7940,IN,1716340771,1716298780,0,9683028,Cornville,200,0
-127.326427,-60.150302,800,Clear,clear sky,01n,stations,296.58,221.15,253.23,316.88,1021,43,1009,946,2872,12.28,131,3.33,13,1716333136,1,6965,IT,1716266772,1716332273,-25200,6532414,Zocca,200,0
55.989783,-71.827701,800,Clear,clear sky,01n,stations,292.02,280.57,314.37,315.68,987,62,1027,976,6788,2.75,92,15.42,14,1716268168,1,9950,GB,1716335565,1716263017,7200,9583925,Nantucket,200,0
122.841157,83.625962,800,Clear,clear sky,01n,stations,260.17,281.93,221.06,280.02,1012,37,1030,974,8220,3.33,252,5.67,61,1716298469,1,4225,IN,1716280205,1716316850,7200,1798410,Pitampura,200,0
-161.966947,-26.789288,800,Clear,clear sky,01n,stations,274.33,224.3,238.89,261.68,1002,99,1012,991,1864,10.19,189,15.94,31,1716286483,1,9690,GB,1716318469,1716295561,-25200,8955012,Pune,200,0
140.301876,-28.154367,800,Clear,clear sky,01n,stations,280.29,236.73,282.17,318.52,1025,95,1016,912,7779,3.76,334,9.76,97,1716348822,1,3940,GB,1716308816,1716292681,0,3050597,Pune,200,0
-88.597923,-33.260725,800,Clear,clear sky,01n,stations,311.56,318.09,235.19,232.85,990,96,1007,993,4321,10.39,44,17.51,6,1716319721,1,7141,GB,1716308815,1716337507,-25200,4011430,Pune,200,0
-16.977751,-76.729918,800,Clear,clear sky,01n,stations,251.86,311.78,231.11,251.32,1016,90,1012,991,3725,3.45,106,9.31,7,1716280806,1,7908,US,1716265082,1716290774,-43200,7105549,Cornville,200,0
27.226724,-55.055621,800,Clear,clear sky,01n,stations,249.59,286.98,247.62,260.18,1021,29,982,967,5618,8.23,343,8.99,43,1716321279,1,1002,GB,1716319132,1716264354,19800,6494680,Pune,200,0
-26.730532,-21.417282,800,Clear,clear sky,01n,stations,300.18,302.94,313.48,225.37,989,34,990,939,9696,6.87,275,13.92,27,1716348498,1,8050,IT,1716338867,1716316999,7200,4118531,Cornville,200,0
52.850389,36.702507,800,Clear,clear sky,01n,stations,270.93,318.89,288.38,244.06,980,36,1019,955,7383,12.7,159,16.53,13,1716335621,1,8260,US,1716286819,1716337476,0,8435574,Pitampura,200,0
-114.139334,27.708257,800,Clear,clear sky,01n,stations,317.21,311.87,223.99,303.27,1007,99,998,1013,8203,12.24,178,7.87,49,1716335813,1,3033,IT,1716311950,1716338501,19800,2384279,Rumbak,200,0
-40.726429,87.623484,800,Clear,clear sky,01n,stations,283.19,300.95,292.63,257.47,995,44,1019,919,3193,15.0,115,11.67,33,1716281097,1,9117,IT,1716263610,1716297670,0,5098840,Whitby,200,0
54.780685,27.463894,800,Clear,clear sky,01n,stations,259.63,266.19,257.03,290.26,1000,90,982,1017,7291,14.42,29,10.92,15,1716268317,1,4716,IT,1716348105,1716320533,-43200,4740479,Zocca,200,0
-24.92019,36.916766,800,Clear,clear sky,01n,stations,238.33,246.8,252.35,283.35,1022,56,1003,958,6525,11.28,129,4.17,47,1716299793,1,4059,IT,1716294868,1716280561,-25200,6414138,Rumbak,200,0
-108.943355,-48.671817,800,Clear,clear sky,01n,stations,237.36,299.64,247.45,253.48,1028,91,980,943,7372,5.48,39,3.44,87,1716284607,1,4151,GB,1716323723,1716285288,-25200,2844867,Cornville,200,0
98.630777,51.001615,800,Clear,clear sky,01n,stations,235.14,220.66,225.11,267.78,991,88,1017,1010,3284,0.39,17,0.32,27,1716318043,1,2112,US,1716268677,1716305463,19800,5442126,Cornville,200,0
-13.428302,-84.521213,800,Clear,clear sky,01n,stations,281.54,246.79,272.01,293.36,983,51,1026,982,4345,5.32,191,16.15,98,1716273285,1,4437,GB,1716280248,1716313925,-43200,2737819,Rumbak,200,0
160.638696,-27.282655,800,Clear,clear sky,01n,stations,288.81,246.48,260.25,265.25,982,69,983,998,3475,13.33,292,8.17,84,1716288322,1,7119,IT,1716269014,1716344426,0,6493784,Nantucket,200,0
16.54142,-32.970368,800,Clear,clear sky,01n,stations,297.75,246.28,286.65,316.88,984,56,983,959,7115,1.78,211,1.75,56,1716322292,1,5009,IT,1716337766,1716274104,-25200,2039243,Pitampura,200,0
149.033424,-46.329626,800,Clear,clear sky,01n,stations,244.1,256.58,244.88,295.9,984,32,982,934,1344,1.37,278,3.62,22,1716330756,1,9401,US,1716300090,1716290928,7200,3944601,Rumbak,200,0
-7.29235,-51.169128,800,Clear,clear sky,01n,stations,223.52,227.1,312.53,312.84,992,56,987,914,4633,9.15,334,10.29,49,1716342424,1,3642,IT,1716265509,1716337608,-25200,1862131,Nantucket,200,0
-136.856356,63.593096,800,Clear,clear sky,01n,stations,239.1,259.59,224.6,303.0,995,89,985,1030,9828,3.05,277,10.32,61,1716327819,1,2281,GB,1716262862,1716346683,19800,9049890,Cornville,200,0
-49.663389,-7.118005,800,Clear,clear sky,01n,stations,275.09,269.94,302.7,277.74,992,60,985,932,4537,1.41,252,7.67,39,1716323382,1,4806,IT,1716307514,1716264672,0,6653345,Nantucket,200,0
-93.81333,-11.436293,800,Clear,clear sky,01n,stations,316.7,296.23,310.85,246.54,1000,29,1028,928,6847,0.05,100,3.11,77,1716282423,1,7091,IN,1716294260,1716341287,7200,8450590,Pitampura,200,0
-90.357413,-52.574539,800,Clear,clear sky,01n,stations,271.7,264.11,256.24,231.33,1020,23,1021,991,8223,12.58,181,6.37,41,1716302120,1,9004,IT,1716339080,1716318509,19800,8336997,Nantucket,200,0
-173.032603,12.275349,800,Clear,clear sky,01n,stations,255.29,318.47,225.09,299.77,1013,55,1018,907,2934,0.12,75,1.89,54,1716347278,1,6776,GB,1716326916,1716345421,-43200,9161333,Whitby,200,0
-14.0085,-74.312309,800,Clear,clear sky,01n,stations,274.71,257.88,291.0,313.49,991,89,991,1022,1524,2.73,65,12.95,47,1716295168,1,8663,GB,1716338773,1716336589,-43200,2937319,Rumbak,200,0
-126.541065,-37.63364,800,Clear,clear sky,01n,stations,309.96,316.84,309.92,227.03,982,91,1029,998,7992,12.08,198,15.44,38,1716322235,1,8463,IN,1716315149,1716292194,0,3717989,Whitby,200,0
