coord_lon,coord_lat,weather_id,weather_main,weather_description,weather_icon,base,main_temp,main_feels_like,main_temp_min,main_temp_max,main_pressure,main_humidity,main_sea_level,main_grnd_level,visibility,wind_speed,wind_deg,wind_gust,clouds_all,dt,sys_type,sys_id,sys_country,sys_sunrise,sys_sunset,timezone,id,name,cod,level
10.99,44.34,800,Clear,clear sky,01n,stations,284.56,282.76,282.99,285.78,992,85,1029,991,1915,1.37,179,3.32,26,1640082726,1,6812,IT,1606672504,1619143256,7200,3163858,Zocca,200,0
10.99,44.34,800,Clear,clear sky,01n,stations,285.85,285.05,283.17,288.58,1017,52,1026,945,5116,1.0,151,1.45,100,1691271894,1,6812,IT,1601500506,1621743531,7200,3163858,Zocca,200,0
10.99,44.34,800,Clear,clear sky,01n,stations,285.75,284.25,283.03,286.84,1028,79,1019,900,5712,3.55,39,3.6,42,1611795130,1,6812,IT,1600935411,1617990989,7200,3163858,Zocca,200,0
10.99,44.34,800,Clear,clear sky,01n,stations,281.65,279.76,279.69,282.75,994,57,1018,912,6311,1.28,36,1.6,13,1685525826,1,6812,IT,1654952344,1656529273,7200,3163858,Zocca,200,0
10.99,44.34,800,Clear,clear sky,01n,stations,288.19,287.29,287.03,289.32,995,59,991,912,3165,3.32,13,6.79,89,1609052564,1,6812,IT,1696104340,1671862281,7200,3163858,Zocca,200,0
10.99,44.34,800,Clear,clear sky,01n,stations,284.75,284.74,282.37,287.61,1014,81,992,995,2336,2.91,270,3.62,49,1603420794,1,6812,IT,1656111058,1614934253,7200,3163858,Zocca,200,0
10.99,44.34,800,Clear,clear sky,01n,stations,288.24,286.54,285.55,291.11,1009,94,1008,965,2585,0.24,330,0.53,5,1675584757,1,6812,IT,1607805232,1637337590,7200,3163858,Zocca,200,0
10.99,44.34,800,Clear,clear sky,01n,stations,281.3,280.0,279.97,282.71,1018,89,1017,967,8654,9.38,97,9.65,40,1602586221,1,6812,IT,1648137221,1610458617,7200,3163858,Zocca,200,0
10.99,44.34,800,Clear,clear sky,01n,stations,280.96,280.12,278.87,282.81,1002,98,1024,951,5717,0.79,322,3.64,42,1679732406,1,6812,IT,1616642546,1696071566,7200,3163858,Zocca,200,0
10.99,44.34,800,Clear,clear sky,01n,stations,281.48,281.42,279.6,282.74,1030,89,1017,901,3005,2.23,94,3.33,42,1609745851,1,6812,IT,1630347942,1613990159,7200,3163858,Zocca,200,0
10.99,44.34,800,Clear,clear sky,01n,stations,282.03,280.71,280.39,283.55,1030,79,1029,907,7025,3.27,190,7.73,26,1659209818,1,6812,IT,1633449135,1642632544,7200,3163858,Zocca,200,0
10.99,44.34,800,Clear,clear sky,01n,stations,286.04,285.11,283.13,288.29,1017,74,1025,985,5600,0.63,234,3.02,29,1620337444,1,6812,IT,1679978640,1605218290,7200,3163858,Zocca,200,0
10.99,44.34,800,Clear,clear sky,01n,stations,283.67,283.25,281.23,284.81,1009,81,992,967,2158,5.96,59,6.2,13,1614308830,1,6812,IT,1687798322,1653624967,7200,3163858,Zocca,200,0
10.99,44.34,800,Clear,clear sky,01n,stations,288.2,286.97,286.54,289.84,1023,79,999,939,9841,0.9,10,1.42,59,1668133128,1,6812,IT,1686718312,1684734727,7200,3163858,Zocca,200,0
10.99,44.34,800,Clear,clear sky,01n,stations,289.79,288.63,286.94,292.69,1005,95,1019,978,3327,5.19,41,7.14,0,1636650909,1,6812,IT,1649335817,1699573505,7200,3163858,Zocca,200,0
10.99,44.34,800,Clear,clear sky,01n,stations,281.7,280.51,279.18,282.84,1010,78,1011,947,4029,0.72,16,3.3,22,1641058406,1,6812,IT,1628852421,1654203105,7200,3163858,Zocca,200,0
10.99,44.34,800,Clear,clear sky,01n,stations,280.07,278.99,278.11,281.25,1013,100,992,991,6917,1.95,181,3.74,79,1661348384,1,6812,IT,1622174464,1619617072,7200,3163858,Zocca,200,0
10.99,44.34,800,Clear,clear sky,01n,stations,289.06,287.43,286.1,290.75,1003,100,999,934,7878,7.74,158,10.97,84,1634350792,1,6812,IT,1698864556,1631854209,7200,3163858,Zocca,200,0
10.99,44.34,800,Clear,clear sky,01n,stations,286.99,285.05,284.51,289.8,1009,80,1027,946,7678,1.62,356,3.1,79,1623232400,1,6812,IT,1683314864,1675290344,7200,3163858,Zocca,200,0
10.99,44.34,800,Clear,clear sky,01n,stations,289.56,288.03,288.3,292.01,996,80,1018,953,6005,0.13,68,1.87,82,1625283035,1,6812,IT,1648666116,1690177216,7200,3163858,Zocca,200,0
10.99,44.34,800,Clear,clear sky,01n,stations,284.38,283.95,281.74,286.45,1006,100,1000,945,6872,7.43,57,9.49,68,1666557032,1,6812,IT,1602329659,1664201748,7200,3163858,Zocca,200,0
10.99,44.34,800,Clear,clear sky,01n,stations,286.68,284.7,285.14,287.92,994,91,1004,978,4657,7.86,133,10.29,35,1619983835,1,6812,IT,1656806274,1686437153,7200,3163858,Zocca,200,0
10.99,44.34,800,Clear,clear sky,01n,stations,285.86,285.62,282.96,287.22,994,57,992,991,1886,10.0,304,11.73,10,1668936173,1,6812,IT,1644024058,1660508573,7200,3163858,Zocca,200,0
10.99,44.34,800,Clear,clear sky,01n,stations,289.26,288.88,288.21,291.0,990,57,1021,913,8107,8.51,129,10.13,78,1625485936,1,6812,IT,1687839282,1632925453,7200,3163858,Zocca,200,0
10.99,44.34,800,Clear,clear sky,01n,stations,281.83,280.4,279.71,284.02,1017,89,1012,939,4434,3.8,323,5.79,67,1608256688,1,6812,IT,1685725832,1640727966,7200,3163858,Zocca,200,0
10.99,44.34,800,Clear,clear sky,01n,stations,286.33,285.9,284.67,289.04,1014,94,1023,900,6055,7.87,347,11.85,40,1683339263,1,6812,IT,1632447843,1685680069,7200,3163858,Zocca,200,0
10.99,44.34,800,Clear,clear sky,01n,stations,286.8,285.15,285.43,287.89,1009,85,1017,945,4283,2.83,301,5.04,35,1659692147,1,6812,IT,1631558799,1678993856,7200,3163858,Zocca,200,0
10.99,44.34,800,Clear,clear sky,01n,stations,288.84,288.45,287.05,291.51,1024,88,1018,987,1653,1.77,34,4.57,14,1688030922,1,6812,IT,1626543390,1626412339,7200,3163858,Zocca,200,0
10.99,44.34,800,Clear,clear sky,01n,stations,281.31,279.53,278.93,283.42,998,66,1003,974,1313,2.68,121,3.63,7,1614096041,1,6812,IT,1674144636,1621389363,7200,3163858,Zocca,200,0
10.99,44.34,800,Clear,clear sky,01n,stations,280.39,279.86,277.74,281.55,1030,84,1024,918,1354,2.01,168,2.81,91,1625097059,1,6812,IT,1664424477,1699709051,7200,3163858,Zocca,200,0
10.99,44.34,800,Clear,clear sky,01n,stations,285.29,283.74,282.78,286.38,1006,90,1028,970,4352,4.05,194,8.09,22,1653571972,1,6812,IT,1675382549,1629147559,7200,3163858,Zocca,200,0
10.99,44.34,800,Clear,clear sky,01n,stations,282.03,280.53,280.96,284.79,1005,53,1003,1000,9258,6.51,192,11.21,27,1670662564,1,6812,IT,1646405660,1669570401,7200,3163858,Zocca,200,0
10.99,44.34,800,Clear,clear sky,01n,stations,283.83,282.35,282.43,285.6,995,55,998,904,7872,0.47,248,3.56,95,1610023110,1,6812,IT,1698552417,1616136939,7200,3163858,Zocca,200,0
10.99,44.34,800,Clear,clear sky,01n,stations,282.09,281.38,280.32,285.08,1025,61,990,978,9124,5.83,171,9.55,4,1681281182,1,6812,IT,1630069430,1617064221,7200,3163858,Zocca,200,0
10.99,44.34,800,Clear,clear sky,01n,stations,288.15,286.45,286.5,290.74,994,89,1007,961,1995,6.74,176,7.09,92,1631270057,1,6812,IT,1683684361,1601242741,7200,3163858,Zocca,200,0
10.99,44.34,800,Clear,clear sky,01n,stations,282.91,282.19,281.37,285.03,1023,88,997,957,8153,5.59,329,7.58,61,1675250217,1,6812,IT,1671525617,1665098101,7200,3163858,Zocca,200,0
10.99,44.34,800,Clear,clear sky,01n,stations,287.06,285.5,284.3,288.09,1010,50,1000,976,2905,7.83,138,8.88,12,1616285391,1,6812,IT,1696586080,1626601799,7200,3163858,Zocca,200,0
10.99,44.34,800,Clear,clear sky,01n,stations,287.16,286.6,285.14,290.14,998,66,1025,914,1180,0.43,333,1.53,37,1600322125,1,6812,IT,1636668689,1676331636,7200,3163858,Zocca,200,0
10.99,44.34,800,Clear,clear sky,01n,stations,283.54,281.7,281.55,284.97,990,51,993,902,6654,5.36,309,6.94,31,1634526864,1,6812,IT,1623409696,1681237371,7200,3163858,Zocca,200,0
10.99,44.34,800,Clear,clear sky,01n,stations,282.41,281.92,280.08,284.0,1016,94,1021,979,3423,4.18,360,5.73,2,1664451077,1,6812,IT,1626701045,1678300685,7200,3163858,Zocca,200,0
10.99,44.34,800,Clear,clear sky,01n,stations,288.08,287.56,285.2,290.61,1017,88,993,961,7830,5.4,43,5.55,73,1646766325,1,6812,IT,1696278656,1647183285,7200,3163858,Zocca,200,0
10.99,44.34,800,Clear,clear sky,01n,stations,287.21,287.04,285.05,289.85,1027,59,992,980,6019,4.66,210,6.31,37,1640778827,1,6812,IT,1636894780,1689228588,7200,3163858,Zocca,200,0
10.99,44.34,800,Clear,clear sky,01n,stations,285.34,283.42,282.68,286.91,1017,70,1025,944,9465,7.82,283,10.33,62,1693258485,1,6812,IT,1660622558,1694011765,7200,3163858,Zocca,200,0
10.99,44.34,800,Clear,clear sky,01n,stations,281.8,281.45,280.03,283.32,992,55,1019,934,6876,3.06,21,3.85,90,1634327155,1,6812,IT,1643519541,1693288148,7200,3163858,Zocca,200,0
10.99,44.34,800,Clear,clear sky,01n,stations,285.3,284.06,283.84,287.46,997,87,1017,1000,1633,1.04,146,3.26,14,1687424904,1,6812,IT,1683984670,1613847762,7200,3163858,Zocca,200,0
10.99,44.34,800,Clear,clear sky,01n,stations,280.71,280.18,278.57,283.55,994,69,1005,912,9823,3.05,15,5.69,86,1624802532,1,6812,IT,1642857981,1617525498,7200,3163858,Zocca,200,0
10.99,44.34,800,Clear,clear sky,01n,stations,285.53,285.29,282.81,288.46,1015,79,1026,922,4730,3.89,281,5.71,46,1673763848,1,6812,IT,1622927186,1632249070,7200,3163858,Zocca,200,0
10.99,44.34,800,Clear,clear sky,01n,stations,286.07,284.95,284.28,288.83,1009,86,1006,930,7395,4.1,230,5.31,56,1631923287,1,6812,IT,1648442756,1620425926,7200,3163858,Zocca,200,0
10.99,44.34,800,Clear,clear sky,01n,stations,289.39,287.88,287.37,292.15,997,86,1013,947,1391,5.69,86,8.32,75,1618203085,1,6812,IT,1609826203,1639888364,7200,3163858,Zocca,200,0
10.99,44.34,800,Clear,clear sky,01n,stations,282.03,281.12,279.81,284.87,1015,92,1022,946,5617,4.35,70,5.15,48,1678886967,1,6812,IT,1623211106,1640502308,7200,3163858,Zocca,200,0
10.99,44.34,800,Clear,clear sky,01n,stations,286.26,285.37,284.66,287.53,996,94,1028,971,5547,1.62,186,4.71,98,1628014139,1,6812,IT,1698713817,1686198147,7200,3163858,Zocca,200,0
10.99,44.34,800,Clear,clear sky,01n,stations,289.81,288.6,288.69,291.55,1015,68,1030,914,4370,1.63,86,4.08,74,1644100090,1,6812,IT,1663427521,1616463925,7200,3163858,Zocca,200,0
10.99,44.34,800,Clear,clear sky,01n,stations,281.08,279.65,278.57,283.69,1021,51,1001,990,9458,6.66,250,7.9,65,1686217770,1,6812,IT,1663336158,1657723797,7200,3163858,Zocca,200,0
10.99,44.34,800,Clear,clear sky,01n,stations,287.26,287.07,284.3,288.98,1021,76,1022,985,6438,6.74,167,9.64,20,1695920099,1,6812,IT,1646541734,1613837742,7200,3163858,Zocca,200,0
10.99,44.34,800,Clear,clear sky,01n,stations,280.7,280.16,278.68,282.38,1024,80,1017,900,7626,1.0,339,2.83,55,1676879985,1,6812,IT,1690873054,1601110882,7200,3163858,Zocca,200,0
10.99,44.34,800,Clear,clear sky,01n,stations,285.4,284.62,282.71,286.93,1022,81,1028,966,4966,9.73,206,11.59,73,1602210469,1,6812,IT,1669882611,1612043151,7200,3163858,Zocca,200,0
10.99,44.34,800,Clear,clear sky,01n,stations,284.45,284.25,282.01,286.65,1027,74,1024,902,3853,1.57,292,5.35,26,1622973171,1,6812,IT,1678155556,1633407057,7200,3163858,Zocca,200,0
10.99,44.34,800,Clear,clear sky,01n,stations,287.7,287.38,286.34,288.94,1020,95,1008,971,9267,9.21,304,12.38,38,1601637957,1,6812,IT,1625554579,1695970237,7200,3163858,Zocca,200,0
10.99,44.34,800,Clear,clear sky,01n,stations,282.99,282.2,281.63,285.09,996,55,1011,922,4900,5.9,272,10.72,9,1602542147,1,6812,IT,1676480144,1609456550,7200,3163858,Zocca,200,0
10.99,44.34,800,Clear,clear sky,01n,stations,289.31,288.13,287.89,290.61,1013,76,994,919,6934,6.35,177,9.03,7,1609440327,1,6812,IT,1653640698,1606967382,7200,3163858,Zocca,200,0
10.99,44.34,800,Clear,clear sky,01n,stations,280.8,280.7,278.29,283.46,1001,90,1021,960,1330,5.61,69,7.34,39,1693697107,1,6812,IT,1674800072,1623552298,7200,3163858,Zocca,200,0
10.99,44.34,800,Clear,clear sky,01n,stations,281.74,281.05,280.19,283.83,1015,50,993,948,8168,4.36,74,7.81,10,1624988689,1,6812,IT,1675653189,1606912955,7200,3163858,Zocca,200,0
10.99,44.34,800,Clear,clear sky,01n,stations,282.13,282.02,280.62,283.67,1008,89,1004,959,6338,1.78,336,6.33,87,1617031349,1,6812,IT,1602433995,1612800123,7200,3163858,Zocca,200,0
10.99,44.34,800,Clear,clear sky,01n,stations,284.87,284.29,282.65,287.07,1015,60,993,957,6200,1.73,124,3.3,1,1646083382,1,6812,IT,1671527242,1607400380,7200,3163858,Zocca,200,0
10.99,44.34,800,Clear,clear sky,01n,stations,286.6,284.86,283.66,288.0,996,57,1024,922,9960,9.29,151,10.11,34,1651782738,1,6812,IT,1608561012,1667542871,7200,3163858,Zocca,200,0
10.99,44.34,800,Clear,clear sky,01n,stations,289.24,288.65,286.5,292.13,1002,68,998,903,3604,2.65,318,2.68,44,1664365868,1,6812,IT,1606847979,1637708427,7200,3163858,Zocca,200,0
10.99,44.34,800,Clear,clear sky,01n,stations,281.31,279.35,278.51,282.46,1006,76,1024,940,6316,5.4,207,9.65,76,1603168690,1,6812,IT,1618005026,1698809513,7200,3163858,Zocca,200,0
10.99,44.34,800,Clear,clear sky,01n,stations,287.41,285.53,284.53,288.77,1004,51,1002,998,9818,8.36,256,8.69,62,1635145804,1,6812,IT,1687009299,1693029547,7200,3163858,Zocca,200,0
10.99,44.34,800,Clear,clear sky,01n,stations,283.72,282.45,281.94,285.83,1008,57,1002,973,9014,1.55,137,4.52,3,1636439827,1,6812,IT,1660119740,1636296773,7200,3163858,Zocca,200,0
10.99,44.34,800,Clear,clear sky,01n,stations,287.21,286.96,285.47,288.5,1005,62,1016,954,5281,0.13,166,2.95,40,1618827613,1,6812,IT,1621143956,1623509696,7200,3163858,Zocca,200,0
10.99,44.34,800,Clear,clear sky,01n,stations,285.19,284.64,282.53,287.1,1004,83,1012,937,7751,6.46,216,9.46,72,1654741250,1,6812,IT,1633661658,1672960998,7200,3163858,Zocca,200,0
10.99,44.34,800,Clear,clear sky,01n,stations,288.14,287.95,285.74,291.1,999,79,1028,967,3110,8.94,200,11.92,58,1627034293,1,6812,IT,1672352331,1608644785,7200,3163858,Zocca,200,0
10.99,44.34,800,Clear,clear sky,01n,stations,287.57,286.29,286.27,289.34,992,69,1006,947,2385,2.28,168,4.54,81,1695257999,1,6812,IT,1674210216,1616368498,7200,3163858,Zocca,200,0
10.99,44.34,800,Clear,clear sky,01n,stations,289.72,288.97,287.47,290.8,1030,52,1024,906,9477,3.34,290,7.77,29,1610763554,1,6812,IT,1616833809,1626215471,7200,3163858,Zocca,200,0
10.99,44.34,800,Clear,clear sky,01n,stations,289.25,288.83,286.59,291.25,997,61,1023,989,9647,5.82,74,7.68,97,1683827410,1,6812,IT,1612126451,1665173608,7200,3163858,Zocca,200,0
10.99,44.34,800,Clear,clear sky,01n,stations,284.68,283.82,283.33,287.17,993,93,1025,913,8177,5.35,327,6.86,98,1605918399,1,6812,IT,1674963118,1608832731,7200,3163858,Zocca,200,0
10.99,44.34,800,Clear,clear sky,01n,stations,285.98,284.3,283.28,288.79,993,92,1003,949,7550,1.34,165,3.62,20,1643973932,1,6812,IT,1665432109,1614636334,7200,3163858,Zocca,200,0
10.99,44.34,800,Clear,clear sky,01n,stations,282.72,281.04,281.1,284.89,1017,55,1026,919,6448,1.66,40,3.2,86,1640492412,1,6812,IT,1670711271,1632182482,7200,3163858,Zocca,200,0
10.99,44.34,800,Clear,clear sky,01n,stations,281.43,280.8,279.69,284.38,1006,77,1001,939,3158,7.79,4,9.8,47,1632730679,1,6812,IT,1644761561,1637769935,7200,3163858,Zocca,200,0
10.99,44.34,800,Clear,clear sky,01n,stations,280.52,279.36,279.24,282.24,1006,72,1029,951,4962,6.67,101,7.06,97,1620801199,1,6812,IT,1683693090,1624229392,7200,3163858,Zocca,200,0
10.99,44.34,800,Clear,clear sky,01n,stations,280.23,278.45,278.99,281.33,1022,66,1021,911,7109,4.91,24,5.62,84,1652496435,1,6812,IT,1625899411,1674401029,7200,3163858,Zocca,200,0
10.99,44.34,800,Clear,clear sky,01n,stations,282.18,281.68,280.2,283.68,1012,71,1008,927,3304,5.65,127,9.51,94,1682933117,1,6812,IT,1606529039,1623310766,7200,3163858,Zocca,200,0
10.99,44.34,800,Clear,clear sky,01n,stations,288.76,288.14,286.45,291.24,1028,52,1017,914,4069,8.17,238,10.78,21,1644152464,1,6812,IT,1671604302,1658328638,7200,3163858,Zocca,200,0
10.99,44.34,800,Clear,clear sky,01n,stations,283.49,282.63,281.32,285.94,1006,79,1016,990,6596,4.23,1,8.91,77,1693556208,1,6812,IT,1621900092,1690285533,7200,3163858,Zocca,200,0
10.99,44.34,800,Clear,clear sky,01n,stations,284.29,283.21,281.66,286.95,1025,88,1025,970,2984,0.6,340,5.15,97,1664939228,1,6812,IT,1692595158,1684600976,7200,3163858,Zocca,200,0
10.99,44.34,800,Clear,clear sky,01n,stations,281.15,280.38,279.61,283.12,998,69,1016,964,2849,4.65,149,9.14,50,1668150301,1,6812,IT,1673804526,1683116166,7200,3163858,Zocca,200,0
10.99,44.34,800,Clear,clear sky,01n,stations,286.38,284.7,284.76,288.27,1018,81,1003,964,8282,6.44,216,7.26,12,1613371874,1,6812,IT,1655214426,1671863529,7200,3163858,Zocca,200,0
10.99,44.34,800,Clear,clear sky,01n,stations,282.15,280.72,279.78,284.23,1029,83,1011,955,8171,3.94,259,5.61,92,1627492124,1,6812,IT,1654680736,1605575524,7200,3163858,Zocca,200,0
10.99,44.34,800,Clear,clear sky,01n,stations,286.99,285.43,285.52,289.64,1021,70,1021,992,6293,5.89,176,9.18,35,1654830932,1,6812,IT,1622956110,1621681927,7200,3163858,Zocca,200,0
10.99,44.34,800,Clear,clear sky,01n,stations,288.29,287.19,285.34,290.59,1019,98,1020,901,6183,5.93,99,10.62,4,1667315206,1,6812,IT,1616354659,1609050018,7200,3163858,Zocca,200,0
10.99,44.34,800,Clear,clear sky,01n,stations,287.62,286.5,285.73,289.97,1020,98,1020,988,7227,7.83,126,8.91,95,1640305123,1,6812,IT,1691285389,1681514563,7200,3163858,Zocca,200,0
10.99,44.34,800,Clear,clear sky,01n,stations,280.36,278.39,278.49,282.67,1013,62,1008,933,6589,1.18,73,4.21,73,1604134537,1,6812,IT,1638581687,1607384132,7200,3163858,Zocca,200,0
10.99,44.34,800,Clear,clear sky,01n,stations,289.62,289.5,287.32,292.29,1012,58,1014,924,9536,2.46,6,5.4,55,1626836164,1,6812,IT,1662549029,1651301641,7200,3163858,Zocca,200,0
10.99,44.34,800,Clear,clear sky,01n,stations,288.49,287.44,286.65,291.44,1017,77,1026,965,7049,0.25,318,2.35,77,1684728989,1,6812,IT,1633082329,1654353342,7200,3163858,Zocca,200,0
10.99,44.34,800,Clear,clear sky,01n,stations,287.17,285.95,286.08,288.87,1021,80,1018,945,9727,9.11,197,10.57,77,1636825978,1,6812,IT,1639228433,1619705486,7200,3163858,Zocca,200,0
10.99,44.34,800,Clear,clear sky,01n,stations,286.01,285.08,284.03,288.28,1013,69,1008,937,2756,3.29,216,6.34,52,1622434256,1,6812,IT,1640667718,1657428249,7200,3163858,Zocca,200,0
10.99,44.34,800,Clear,clear sky,01n,stations,285.37,283.88,283.06,287.79,1021,98,1008,966,2052,7.4,332,8.99,50,1632435286,1,6812,IT,1688580417,1683729842,7200,3163858,Zocca,200,0
10.99,44.34,800,Clear,clear sky,01n,stations,284.93,283.04,283.38,286.62,1012,65,1005,981,8075,5.27,356,6.28,33,1610516122,1,6812,IT,1666712646,1672743958,7200,3163858,Zocca,200,0
10.99,44.34,800,Clear,clear sky,01n,stations,283.08,282.83,281.02,285.74,1015,55,1015,998,7746,7.95,172,10.13,33,1694438415,1,6812,IT,1637468120,1667283298,7200,3163858,Zocca,200,0
10.99,44.34,800,Clear,clear sky,01n,stations,285.33,283.61,282.59,287.94,1013,63,1001,935,3859,5.03,282,7.15,54,1625059194,1,6812,IT,1644330123,1625325010,7200,3163858,Zocca,200,0
10.99,44.34,800,Clear,clear sky,01n,stations,285.98,284.6,284.4,288.52,1019,66,1025,984,2211,7.29,122,7.55,79,1677612965,1,6812,IT,1638049412,1612526998,7200,3163858,Zocca,200,0
10.99,44.34,800,Clear,clear sky,01n,stations,281.11,279.64,279.22,283.9,1003,87,1024,959,4493,7.09,54,9.6,70,1676913399,1,6812,IT,1695847890,1692902954,7200,3163858,Zocca,200,0
10.99,44.34,800,Clear,clear sky,01n,stations,286.9,286.8,284.89,289.4,992,55,1021,918,6179,9.0,155,11.3,99,1651261681,1,6812,IT,1607910596,1610227313,7200,3163858,Zocca,200,0
10.99,44.34,800,Clear,clear sky,01n,stations,286.16,284.55,284.42,287.77,1000,90,1003,956,6037,2.12,135,5.55,35,1614813132,1,6812,IT,1643153642,1689289298,7200,3163858,Zocca,200,0
10.99,44.34,800,Clear,clear sky,01n,stations,284.56,284.29,283.0,287.54,1019,89,1011,904,3123,4.12,233,8.56,70,1669309995,1,6812,IT,1648118740,1641191013,7200,3163858,Zocca,200,0
10.99,44.34,800,Clear,clear sky,01n,stations,283.85,282.54,282.66,286.43,1011,100,1004,999,7318,5.97,71,8.93,8,1627301213,1,6812,IT,1621096085,1610678726,7200,3163858,Zocca,200,0
10.99,44.34,800,Clear,clear sky,01n,stations,289.27,288.83,287.71,290.57,1001,82,1030,910,7886,5.31,81,5.34,54,1663596487,1,6812,IT,1687625804,1644281905,7200,3163858,Zocca,200,0
10.99,44.34,800,Clear,clear sky,01n,stations,287.84,286.52,285.65,290.53,1007,81,1003,987,3178,5.76,147,9.66,66,1667648515,1,6812,IT,1633697379,1616905240,7200,3163858,Zocca,200,0
10.99,44.34,800,Clear,clear sky,01n,stations,288.08,287.82,286.14,289.23,991,61,1000,914,7802,4.09,136,4.89,39,1667371816,1,6812,IT,1665841119,1631711245,7200,3163858,Zocca,200,0
10.99,44.34,800,Clear,clear sky,01n,stations,286.36,285.14,284.98,289.04,1009,65,995,961,5125,5.48,349,10.2,9,1609494381,1,6812,IT,1664738813,1606498617,7200,3163858,Zocca,200,0
10.99,44.34,800,Clear,clear sky,01n,stations,280.29,278.45,278.78,282.25,1016,62,995,969,6403,8.85,84,11.44,55,1651850126,1,6812,IT,1608445017,1668928470,7200,3163858,Zocca,200,0
10.99,44.34,800,Clear,clear sky,01n,stations,284.04,282.47,281.98,285.32,1009,84,996,961,5950,0.65,160,4.09,100,1694369659,1,6812,IT,1624546465,1608768030,7200,3163858,Zocca,200,0
10.99,44.34,800,Clear,clear sky,01n,stations,287.07,286.31,284.5,288.69,1026,57,996,996,3371,3.49,5,8.42,58,1629753930,1,6812,IT,1671161770,1674371418,7200,3163858,Zocca,200,0
10.99,44.34,800,Clear,clear sky,01n,stations,280.29,279.15,277.73,282.28,1024,64,1008,951,1714,5.83,184,10.46,21,1604830501,1,6812,IT,1643678464,1652642720,7200,3163858,Zocca,200,0
